央视,#genre#
海南卫视,http://j.s.bkpcp.top/jj/hinws
陕西卫视,http://j.s.bkpcp.top/jj/sxws
兵团卫视,http://j.s.bkpcp.top/jj/btws
黑龙江视,http://j.s.bkpcp.top/jj/hljws
CCTV-01,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17,http://t.061899.xyz/tl/tl.php?id=cctv17
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视,http://t.061899.xyz/tl/tl.php?id=hljws
CCTV-01,http://rihou.cc:555/tv/[JR]CCTV-01
CCTV-02,http://rihou.cc:555/tv/[JR]CCTV-02
CCTV-03,http://rihou.cc:555/tv/[JR]CCTV-03
CCTV-04,http://rihou.cc:555/tv/[JR]CCTV-04
CCTV-05,http://rihou.cc:555/tv/[JR]CCTV-05
CCTV-5+,http://rihou.cc:555/tv/[JR]CCTV-5p
CCTV-06,http://rihou.cc:555/tv/[JR]CCTV-06
CCTV-07,http://rihou.cc:555/tv/[JR]CCTV-07
CCTV-08,http://rihou.cc:555/tv/[JR]CCTV-08
CCTV-09,http://rihou.cc:555/tv/[JR]CCTV-09
CCTV-10,http://rihou.cc:555/tv/[JR]CCTV-10
CCTV-11,http://rihou.cc:555/tv/[JR]CCTV-11
CCTV-12,http://rihou.cc:555/tv/[JR]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[JR]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[JR]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[JR]CCTV-15
